Rank,Company, Market Cap (USD) ,Country,Sector,Industry
265,Sentelic Corp," 89,000,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
266,TrueLight Corp," 83,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
267,Taiwan IC Packaging Corp," 81,700,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
268,Paragon ID SA," 81,200,000.00 ",France,French Technology,French Semiconductors
269,CML Microsystems plc," 81,200,000.00 ",United Kingdom,UK Technology,UK Semiconductors
270,Nyquest Technology Co. Ltd," 79,800,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
271,"Feature Integration Technology, Inc."," 79,100,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
272,"IntelliEPI, Inc."," 74,300,000.00 ",United States,US Technology,US Semiconductors
273,"Pixelworks, Inc."," 72,000,000.00 ",United States,US Technology,US Semiconductors
274,Hycon Technology Corp," 66,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
275,Gigastone Corp," 65,800,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
276,"THine Electronics, Inc."," 64,700,000.00 ",Japan,Japanese Technology,Japanese Semiconductors
277,"Shian Yih Electronic Industry Co.,Ltd"," 64,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
278,Gia-Tzoong Enterprise Co. Ltd," 63,300,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
279,"GSI Technology, Inc."," 62,300,000.00 ",United States,US Technology,US Semiconductors
280,Professional Computer Technology Ltd," 60,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
281,"Advanced Microelectronic Products, Inc."," 60,000,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
282,Syntek Semiconductor Co. Ltd," 59,400,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
283,Solid State System Co. Ltd," 56,700,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
284,Vate Technology Co. Ltd," 56,600,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
285,Megawin Technology Co. Ltd," 56,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
286,Fuzetec Technology Co. Ltd," 56,100,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
287,"WiseChip Semiconductor, Inc."," 55,400,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
288,Force MOS Technology Co. Ltd," 54,200,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
289,Densan Co. Ltd," 54,100,000.00 ",Japan,Japanese Technology,Japanese Semiconductors
290,"Kyoei Sangyo Co.,Ltd."," 52,200,000.00 ",Japan,Japanese Technology,Japanese Semiconductors
291,Singbao International Co. Ltd," 50,400,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
292,ASEC International Corp," 48,600,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
293,"iSTART-TEK, Inc."," 47,300,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
294,ETREND Hightech Corp," 46,400,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
295,Major-Power Technology Co. Ltd," 46,400,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
296,Zen Voce Corp," 42,000,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
297,Mospec Semiconductor Corp," 41,700,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
298,"WILLTEC Co.,Ltd."," 40,700,000.00 ",Japan,Japanese Technology,Japanese Semiconductors
299,Avi-Tech Electronics Ltd," 40,000,000.00 ",Singapore,Singaporean Technology,Singaporean Semiconductors
300,"MoSys, Inc."," 39,200,000.00 ",United States,US Technology,US Semiconductors
301,"Micromem Technologies, Inc."," 38,800,000.00 ",Canada,Canadian Technology,Canadian Semiconductors
302,HY Electronic," 37,000,000.00 ",Cayman Islands,Cayman Islands Technology,Cayman Islands Semiconductors
303,"Soshin Electric Co.,Ltd."," 36,800,000.00 ",Japan,Japanese Technology,Japanese Semiconductors
304,EMCORE Corporation," 35,500,000.00 ",United States,US Technology,US Semiconductors
305,Unifosa Corp," 35,400,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
306,"Myson Century, Inc."," 35,000,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
307,Tekcore Co. Ltd," 32,900,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
308,"Sunnic Technology & Merchandise, Inc."," 32,900,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
309,Alpha Microelectronics Corp," 31,800,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
310,"V-TAC Technology Co.,Ltd."," 31,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
311,Polylite Taiwan Co. Ltd," 31,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
312,East Tender Optoelectronics Corp," 30,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
313,"AverLogic Technologies, Corp"," 30,200,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
314,Promaster Technology Corp," 29,700,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
315,Higher Way Electronic Co. Ltd," 29,400,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
316,Alcorlink Corp," 29,200,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
317,RoodMicrotec N.V.," 27,500,000.00 ",Netherlands,Dutch Technology,Dutch Semiconductors
318,Teamphon Energy Co. Ltd," 26,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
319,iROC Co. Ltd," 25,700,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
320,Arima Lasers Corp," 23,800,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
321,"PFC Device, Inc."," 21,600,000.00 ",Hong Kong,HK Technology,HK Semiconductors
322,Sunright Ltd," 20,500,000.00 ",Singapore,Singaporean Technology,Singaporean Semiconductors
323,"TM Technology, Inc."," 20,400,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
324,"Oriental System Technology, Inc."," 20,400,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
325,Risecomm Group Holdings Ltd," 19,600,000.00 ",China,Chinese Technology,Chinese Semiconductors
326,"Silicon Touch Technology, Inc."," 18,600,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
327,"3s Silicon Tech., Inc."," 18,200,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
328,WISeKey International Holding AG," 18,100,000.00 ",Switzerland,Swiss Technology,Swiss Semiconductors
329,Avid Electronics Corp," 17,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
330,"Parkervision, Inc."," 13,600,000.00 ",United States,US Technology,US Semiconductors
331,Confidence Intelligence Holdings Ltd," 11,400,000.00 ",China,Chinese Technology,Chinese Semiconductors
332,Brainhole Technology Ltd," 8,800,000.00 ",Hong Kong,HK Technology,HK Semiconductors
333,Bluechiip Limited," 7,000,000.00 ",Australia,Australian Technology,Australian Semiconductors
334,SemiLEDs Corporation," 6,500,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
335,Sync Power Corp," 5,800,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
336,Contel Technology Company Ltd," 5,800,000.00 ",Hong Kong,HK Technology,HK Semiconductors
337,Powersafe Technology Corp," 5,200,000.00 ",United States,US Technology,US Semiconductors
338,Quantum Numbers Corp," 5,100,000.00 ",Canada,Canadian Technology,Canadian Semiconductors
339,"Genesis Photonics, Inc."," 4,200,000.00 ",Taiwan,Taiwanese Technology,Taiwanese Semiconductors
340,Sensera Limited," 4,100,000.00 ",Australia,Australian Technology,Australian Semiconductors
341,Phoenitron Holdings Ltd," 3,100,000.00 ",Hong Kong,HK Technology,HK Semiconductors
342,"Summit Wireless Technologies, Inc."," 2,700,000.00 ",United States,US Technology,US Semiconductors
343,Labat Africa Ltd," 2,500,000.00 ",South Africa,South African Technology,South African Semiconductors
344,NeoMagic Corp," 1,600,000.00 ",United States,US Technology,US Semiconductors
345,EEMS Italia SpA," 1,400,000.00 ",Italy,Italian Technology,Italian Semiconductors
346,"Odyssey Semiconductor Technologies, Inc."," 916,336.00 ",United States,US Technology,US Semiconductors
347,"CardXX, Inc."," 231,333.00 ",United States,US Technology,US Semiconductors
348,Cyberlux Corp," 154,425.00 ",United States,US Technology,US Semiconductors
349,ams AG,,Austria,Austria Technology,Austria Semiconductors
350,Infinite Technology Corp,,United States,US Technology,US Semiconductors
351,Inphi Corporation,,United States,US Technology,US Semiconductors
352,Strasbaugh,,United States,US Technology,US Semiconductors
353,Grade Upon Technology Corp,,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
354,Rockley Photonics Holdings Ltd,,United Kingdom,UK Technology,UK Semiconductors
355,K2 Energy Limited,,Australia,Australian Technology,Australian Semiconductors
356,TranSwitch Corp,,United States,US Technology,US Semiconductors
357,"Wolfspeed, Inc.",,United States,US Technology,US Semiconductors
358,"Meltronix, Inc.",,United States,US Technology,US Semiconductors
